section,key,label,value,unit,tier,source,note
1. Organization and scope,org_name,Anchor organization,Upwardly Global,text,PUBLIC,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127","Selected for eleven years of machine-readable 990 data, a published impact record, and a genuinely unresolved financial planning question."
1. Organization and scope,org_ein,EIN,94-3346127,text,PUBLIC,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127",Employer Identification Number as filed.
1. Organization and scope,as_of,Analysis as-of,"FY2024 Form 990, filed 2025-10-17",text,PUBLIC,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127","Most recent public filing. FY2025 in the forecast is a current-year estimate, not an actual."
1. Organization and scope,cn_rating,Charity Navigator rating,"4 of 4 stars, 96% overall score, all four beacons complete (FY2024 basis)",text,PUBLIC,"Charity Navigator rating profile, EIN 94-3346127 - https://www.charitynavigator.org/ein/943346127",Used as a sanity bound on the modelled functional expense split.
1. Organization and scope,base_year,Model base year,2024,fiscal year,PUBLIC,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127",Last year with filed actuals. All forecasts step forward from here.
2. Historical financials (Form 990),rev_2019,FY2019 total revenue,6750061,USD,PUBLIC,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127","Form 990 Part I, total revenue."
2. Historical financials (Form 990),exp_2019,FY2019 total functional expenses,5531091,USD,PUBLIC,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127","Form 990 Part I, total functional expenses."
2. Historical financials (Form 990),assets_2019,FY2019 total assets,4915534,USD,PUBLIC,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127","Form 990 Part I, end of year."
2. Historical financials (Form 990),liab_2019,FY2019 total liabilities,461151,USD,PUBLIC,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127","Form 990 Part I, end of year."
2. Historical financials (Form 990),contrib_2019,FY2019 contributions and grants,6528091,USD,PUBLIC,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127",Form 990 Part VIII line 1h.
